Area Code,Region Name,Average Low income,Average Income,Average High income,Housing Cost (Monthly Rent),Housing Affordability for Low Income (%),Housing Affordability for Avg Income (%),Housing Affordability for High Income (%)
E08000034,Kirklees,31566.1,37442.37,44427.12,514,19.5399495,16.47331619,13.88341175
E08000035,Leeds,35564.49,42349.53,50413.08,723,24.39511996,20.48665003,17.20981936
E08000036,Wakefield,33802.22,40122.22,47624.44,1023,36.3171413,30.59651236,25.77668105
E08000037,Gateshead,24197,35033,41380,690,34.21911807,23.63485856,20.00966651
E09000001,City of London,81300,101800,127500,1267,18.70110701,14.93516699,11.92470588
E09000002,Barking and Dagenham,38427.27,45577.27,54050,946,29.5415209,24.90715218,21.00277521
E09000003,Barnet,49700,58787.8,69519.51,993,23.97585513,20.2695117,17.14051207
E09000004,Bexley,45496.43,53832.14,63675,1130,29.80453631,25.18941287,21.29564193
E09000005,Brent,45017.65,53352.94,63226.47,668,17.80634929,15.02447663,12.67823429
E09000006,Bromley,51017.95,60400,71505.13,946,22.25099205,18.79470199,15.87578402
E09000007,Camden,53275,63542.86,75767.86,1252,28.20084467,23.64388383,19.82898818
E09000008,Croydon,46436.36,55063.64,65302.27,803,20.75098048,17.4997512,14.75599547
E09000009,Ealing,49287.18,58441.03,69302.56,585,14.24305468,12.01210862,10.12949594
E09000010,Enfield,45116.67,53469.44,63358.33,637,16.94273979,14.29601657,12.06471193
E09000011,Greenwich,44809.09,53145.45,63036.36,516,13.81862475,11.65104445,9.822902211
E09000012,Hackney,46796.43,55428.57,65660.71,748,19.18095034,16.19381485,13.67027557
E09000013,Hammersmith and Fulham,53604,63620,75516,1109,24.82650548,20.91795033,17.62275544
E09000014,Haringey,48952.78,58113.89,69008.33,913,22.38075141,18.85263575,15.8763442
E09000015,Harrow,50840,60280,71470,861,20.32258065,17.14001327,14.45641528
E09000016,Havering,45303.33,53560,63323.33,1181,31.28246864,26.46004481,22.38037703
E09000017,Hillingdon,48318.75,57231.25,67775,1137,28.23748545,23.84012231,20.13131686
E09000018,Hounslow,47460.71,56400,67010.71,861,21.76958583,18.31914894,15.41843087
E09000019,Islington,53608.7,63621.74,75495.65,802,17.95230998,15.12690473,12.74775434
E09000020,Kensington and Chelsea,56271.43,67876.19,81880.95,682,14.54379247,12.05724717,9.994998837
E09000021,Kingston upon Thames,54070,63960,75645,748,16.60070279,14.03377111,11.86595281
E09000022,Lambeth,51660,61171.43,72448.57,969,22.5087108,19.00887391,16.05000623
E09000023,Lewisham,47169.44,55797.22,66033.33,965,24.54979326,20.75372214,17.53659856
E09000024,Merton,56088,66528,78924,1117,23.89816003,20.14790765,16.98342709
E09000025,Newham,41783.78,49613.51,58891.89,894,25.67503467,21.62314257,18.21643014
E09000026,Redbridge,47809.68,56632.26,67070.97,1163,29.19074129,24.64319806,20.80781
E09000027,Richmond upon Thames,61600,73069.57,86678.26,689,13.42207792,11.31524381,9.538724012
E09000028,Southwark,49672.73,59003.03,70103.03,1204,29.086382,24.48687805,20.60966552
E09000029,Sutton,48983.33,58033.33,68770.83,975,23.88567703,20.16082827,17.01302718
E09000030,Tower Hamlets,48400,57584.38,68506.25,784,19.43801653,16.33776382,13.73305355
E09000031,Waltham Forest,46617.86,55121.43,65146.43,1189,30.60629553,25.88466954,21.90143036
E09000032,Wandsworth,61127.03,72813.51,86727.03,862,16.92213739,14.20615487,11.92707741
E09000033,Westminster,56400,67762.5,81420.83,883,18.78723404,15.63696735,13.01386881
S12000005,Clackmannanshire,27830,38812,41366,653,28.15666547,20.18963207,18.94309336
S12000006,Dumfries and Galloway,25402,33825,49777,878,41.47704905,31.14855876,21.16640215
S12000008,East Ayrshire,24414,31876,40873,677,33.27598919,25.48625925,19.87620189
S12000010,East Lothian,23682,39387,46045,783,39.67570307,23.85558687,20.40612444
S12000011,East Renfrewshire,23849,35933,41220,1057,53.1846199,35.29902875,30.77147016
S12000013,Eilean Siar,29548,32657,44390,1244,50.52118587,45.71148605,33.62919576
S12000014,Falkirk,26043,35128,49085,1167,53.77260684,39.86563425,28.53010085
S12000015,Fife,27713,37597,49856,704,30.48388843,22.46987792,16.94480103
S12000017,Highland,25971,35264,46881,1134,52.39690424,38.58892922,29.02668458
S12000018,Inverclyde,29988,39096,40780,1105,44.21768707,33.9165132,32.51593919
S12000019,Midlothian,22332,30041,41549,950,51.04782375,37.94813755,27.43748345
S12000020,Moray,25067,39117,41264,1233,59.02581083,37.82498658,35.85692129
S12000021,North Ayrshire,28947,30140,45832,1031,42.74018033,41.04844061,26.99423983
S12000023,Orkney Islands,29078,31510,48516,1143,47.16968155,43.5290384,28.27108583
S12000024,Perth and Kinross,29654,37573,40732,822,33.26364066,26.25289437,24.21683197
S12000026,Scottish Borders,24443,36038,49827,1273,62.49642024,42.38858982,30.65807695
S12000027,Shetland Islands,21572,37636,43531,727,40.44131281,23.17993411,20.0408904
S12000028,South Ayrshire,20151,34463,48892,687,40.91112104,23.92130691,16.86165426
S12000029,South Lanarkshire,25840,33372,44645,813,37.75541796,29.23408846,21.85239109
S12000030,Stirling,20291,31177,44827,641,37.90843231,24.67203387,17.15930131
S12000033,Aberdeen City,23759,37691,44793,571,28.83959763,18.17940622,15.29703302
S12000034,Aberdeenshire,25052,36753,49761,862,41.29011656,28.14464125,20.7873636
S12000035,Argyll and Bute,23775,34451,41319,508,25.64037855,17.69469682,14.75350323
S12000036,City of Edinburgh,27841,36379,43508,640,27.58521605,21.11108057,17.65192608
S12000038,Renfrewshire,26848,38527,48587,1300,58.10488677,40.49108417,32.10735382
S12000039,West Dunbartonshire,22087,37173,40987,528,28.6865577,17.04462917,15.45856003
S12000040,West Lothian,20678,33216,40081,1235,71.67037431,44.61705202,36.97512537
S12000041,Angus,22489,32488,43797,750,40.01956512,27.70253632,20.5493527
S12000042,Dundee City,22024,38209,45140,572,31.16600073,17.96435395,15.2060257
S12000044,North Lanarkshire,22326,35236,49106,887,47.67535609,30.20774208,21.67555899
S12000045,East Dunbartonshire,26173,37680,41136,591,27.09662629,18.82165605,17.2403734
S12000046,Glasgow City,28075,39274,46120,920,39.32324132,28.11020013,23.93755421
W06000001,Isle of Anglesey,31755.56,37711.11,44755.56,632,23.88243193,20.11078433,16.94538064
